event,properties,trigger,hook,page
Sign Up Started,method: password | phone,User submits the sign-up form / requests phone OTP,dg-auth/app/composables/useAuth.ts → signUp() / phoneSignUp(),/sign-up
Signed Up,method: password | phone | google | line,Account created — password/phone via the *_signup method tag; SSO (Google/LINE) detected by a just-now createdAt in setUser so social signups are no longer counted only as Signed In,dg-auth/app/stores/session.store.ts → setUser(),/sign-up · OAuth callbacks
Signed In,method: password | phone | google | facebook | line,Fresh non-impersonation authentication succeeds (not fired on cookie-restore reloads or for backoffice_* impersonation — those set the is_impersonation super property instead),dg-auth/app/stores/session.store.ts → setUser(),/sign-in · /auth/facebook/callback · /auth/line/callback
SSO Started,provider: line | facebook; mode: signin | signup,User clicks a social-login button and is redirected to the provider — LINE + Facebook (Google's GIS button is a cross-origin iframe whose click we cannot capture),dg-auth/app/components/AuthLineSignInButton.vue → handleLineLogin() · dg-auth/app/components/AuthFacebookSignInButton.vue → handleFacebookLogin(),/sign-in · /sign-up
Onboarding Step Completed,step: welcome | connect-platform | connect-shop | …; step_number: int; total_steps: int,User advances a step in the onboarding modal,dg-app/layers/onboarding/app/composables/useOnboarding.ts → goNext(),onboarding modal (workspace entry)
Onboarding Skipped,step: current step id,User skips the onboarding modal,dg-app/layers/onboarding/app/composables/useOnboarding.ts → skipOnboarding(),onboarding modal
Onboarding Completed,platform: string?; shop_connected: bool,User finishes onboarding and enters the workspace (activation moment),dg-app/layers/onboarding/app/composables/useOnboarding.ts → finishAndEnterWorkspace(),onboarding modal
Shop OAuth Started,platform: shopee | lazada | tiktok; app_type: default | ads | ams | erp?; source: onboarding | add_shop | shop_settings,User clicks connect and the platform auth URL opens,dg-app/layers/platforms/app/components/ShopAuthSteps.vue → handle*Auth() (source onboarding | add_shop); dg-app/layers/workspace/app/components/ShopSettingsConnectionSection.vue (source shop_settings),onboarding connect step · add-shop dialog · /workspace/my-shop/[id]/manage
Shop Connected,platform: shopee | lazada | tiktok; app_type: default | erp | ads | ams; shop_id: string; source: oauth_callback,Fires deterministically on the OAuth result/callback page on a successful shop-data grant (ads/ams add-on scopes excluded) — replaces the old window-refocus new-shop diff so connects via shop settings and reauth are captured too,dg-auth/app/pages/(unauthorized)/auth/{shopee|lazada}/result.vue + auth/tiktok/callback.vue → onMounted,OAuth result tab (onboarding · add-shop · shop settings connect)
Decision Deploy Started,kind: DecisionKind; platform: string,User initiates deploy on an action card (before gate dialogs),dg-app/layers/decisions/app/composables/useDeployFlow.ts → deployFlow(),/workspace/my-shop/[id]/decisions/*
Decision Deployed,kind: DecisionKind; platform: string; domain: product | ads?,Deploy mutation succeeds on the backend,dg-app/layers/decisions/app/composables/useDecisionActions.ts → deployMutation.onSuccess,/workspace/my-shop/[id]/decisions/*
Decision Dismissed,kind: DecisionKind; platform: string; domain: product | ads?,Dismiss mutation succeeds,dg-app/layers/decisions/app/composables/useDecisionActions.ts → dismissMutation.onSuccess,/workspace/my-shop/[id]/decisions/*
Decision Rationale Expanded,kind: DecisionKind; platform: string,Seller expands the collapsible "why" rationale (Click to learn more) on an action detail panel,dg-app/layers/decisions/app/components/decision-action/DecisionActionWhyCard.vue → toggle() (shared across kinds),/workspace/my-shop/[id]/decisions/*
Margin Preview Requested,platform: shopee; product_count: int; target_margin: number,User requests a set-margin preview for selected products,dg-app/layers/products/app/composables/useMarginOptimizer.ts → preview(),/workspace/my-shop/[id]/products (margin tool)
Margin Applied,platform: shopee; product_count: int; target_margin: number,Set-margin apply succeeds,dg-app/layers/products/app/composables/useMarginOptimizer.ts → apply(),/workspace/my-shop/[id]/products (margin tool)
Commission Adjust Deployed,lever: discount_trim; scope: variant | item | all; variant_count: int; failed_count: int?,Commission-adjust apply succeeds from the products panel (board deploys land as Decision Deployed kind=commission_adjust),dg-app/layers/products/app/composables/useCommissionAdjustSummary.ts → deployModel()/deployItem()/deployAll(),/workspace/my-shop/[id]/products/commission
Commission Adjust Price Raise Exported,variant_count: int,Price-raise .zip (one .xlsx per COGS source) download succeeds from the Adjust panel (Shopee-only; stateless — nothing applied),dg-app/layers/products/app/composables/useCommissionAdjustSummary.ts → exportPriceRaise(),/workspace/my-shop/[id]/products/commission
Commission Adjust Regenerated,cutoff_pct: number?; buffer_pct: number?; protect_mode: profit | margin | null; target_margin_pct: number?; generated_count: int,Seller rebuilds the upcoming commission change's recs (generate regenerate:true — rejects open recs + recreates) from the Adjust panel settings popover with tuning knobs (Shopee-only),dg-app/layers/products/app/composables/useCommissionAdjustSummary.ts → regenerate(),/workspace/my-shop/[id]/products/commission
Price Changes Applied,platform: shopee; field_count: int; fields: string[],Financial-breakdown apply succeeds with no blocking warnings,dg-app/layers/products/app/composables/useApplyChanges.ts → runApplyChanges(),/workspace/my-shop/[id]/products/[productId]
COGS Upload Completed,platform: shopee | lazada; row_count: int,COGS spreadsheet apply succeeds,dg-app/layers/products/app/components/CogsUploadPanel.vue → handleApply(),/workspace/my-shop/[id]/products (COGS tool)
